ARRAY	CHR	PHI	POPULATION
1	1	1e-2	1kg_eur
2	2	1e-2	1kg_eur
3	3	1e-2	1kg_eur
4	4	1e-2	1kg_eur
5	5	1e-2	1kg_eur
6	6	1e-2	1kg_eur
7	7	1e-2	1kg_eur
8	8	1e-2	1kg_eur
9	9	1e-2	1kg_eur
10	10	1e-2	1kg_eur
11	11	1e-2	1kg_eur
12	12	1e-2	1kg_eur
13	13	1e-2	1kg_eur
14	14	1e-2	1kg_eur
15	15	1e-2	1kg_eur
16	16	1e-2	1kg_eur
17	17	1e-2	1kg_eur
18	18	1e-2	1kg_eur
19	19	1e-2	1kg_eur
20	20	1e-2	1kg_eur
21	21	1e-2	1kg_eur
22	22	1e-2	1kg_eur
23	1	1e-4	1kg_eur
24	2	1e-4	1kg_eur
25	3	1e-4	1kg_eur
26	4	1e-4	1kg_eur
27	5	1e-4	1kg_eur
28	6	1e-4	1kg_eur
29	7	1e-4	1kg_eur
30	8	1e-4	1kg_eur
31	9	1e-4	1kg_eur
32	10	1e-4	1kg_eur
33	11	1e-4	1kg_eur
34	12	1e-4	1kg_eur
35	13	1e-4	1kg_eur
36	14	1e-4	1kg_eur
37	15	1e-4	1kg_eur
38	16	1e-4	1kg_eur
39	17	1e-4	1kg_eur
40	18	1e-4	1kg_eur
41	19	1e-4	1kg_eur
42	20	1e-4	1kg_eur
43	21	1e-4	1kg_eur
44	22	1e-4	1kg_eur
45	1	auto	1kg_eur
46	2	auto	1kg_eur
47	3	auto	1kg_eur
48	4	auto	1kg_eur
49	5	auto	1kg_eur
50	6	auto	1kg_eur
51	7	auto	1kg_eur
52	8	auto	1kg_eur
53	9	auto	1kg_eur
54	10	auto	1kg_eur
55	11	auto	1kg_eur
56	12	auto	1kg_eur
57	13	auto	1kg_eur
58	14	auto	1kg_eur
59	15	auto	1kg_eur
60	16	auto	1kg_eur
61	17	auto	1kg_eur
62	18	auto	1kg_eur
63	19	auto	1kg_eur
64	20	auto	1kg_eur
65	21	auto	1kg_eur
66	22	auto	1kg_eur
