ARRAY	CHR	PHI
1	1	1e-2
2	2	1e-2
3	3	1e-2
4	4	1e-2
5	5	1e-2
6	6	1e-2
7	7	1e-2
8	8	1e-2
9	9	1e-2
10	10	1e-2
11	11	1e-2
12	12	1e-2
13	13	1e-2
14	14	1e-2
15	15	1e-2
16	16	1e-2
17	17	1e-2
18	18	1e-2
19	19	1e-2
20	20	1e-2
21	21	1e-2
22	22	1e-2
23	1	1e-4
24	2	1e-4
25	3	1e-4
26	4	1e-4
27	5	1e-4
28	6	1e-4
29	7	1e-4
30	8	1e-4
31	9	1e-4
32	10	1e-4
33	11	1e-4
34	12	1e-4
35	13	1e-4
36	14	1e-4
37	15	1e-4
38	16	1e-4
39	17	1e-4
40	18	1e-4
41	19	1e-4
42	20	1e-4
43	21	1e-4
44	22	1e-4
45	1	auto
46	2	auto
47	3	auto
48	4	auto
49	5	auto
50	6	auto
51	7	auto
52	8	auto
53	9	auto
54	10	auto
55	11	auto
56	12	auto
57	13	auto
58	14	auto
59	15	auto
60	16	auto
61	17	auto
62	18	auto
63	19	auto
64	20	auto
65	21	auto
66	22	auto
