Term,Observed,Direction,Fold_Enrichment,P_value,FDR
positive regulation of macromolecule metabolic process (GO:0010604),150,+,1.99,7.67e-18,1.11e-13
cellular process (GO:0009987),442,+,1.19,6.36e-17,4.63e-13
positive regulation of metabolic process (GO:0009893),155,+,1.86,7.84e-16,3.8e-12
positive regulation of macromolecule biosynthetic process (GO:0010557),125,+,2.03,2.8e-15,1.02e-11
positive regulation of biosynthetic process (GO:0009891),125,+,1.94,9.28e-14,2.7e-10
gene expression (GO:0010467),118,+,1.93,1.08e-12,1.97e-09
primary metabolic process (GO:0044238),235,+,1.47,1.36e-12,1.97e-09
macromolecule metabolic process (GO:0043170),200,+,1.56,1.29e-12,2.08e-09
positive regulation of cellular process (GO:0048522),212,+,1.53,1.05e-12,2.17e-09
lymphocyte differentiation (GO:0030098),32,+,4.55,9.51e-13,2.3e-09
mRNA metabolic process (GO:0016071),48,+,3.15,2.13e-12,2.57e-09
lymphocyte activation (GO:0046649),42,+,3.49,2.08e-12,2.74e-09
positive regulation of biological process (GO:0048518),219,+,1.49,5.37e-12,6e-09
mononuclear cell differentiation (GO:1903131),35,+,3.85,1.03e-11,1.07e-08
metabolic process (GO:0008152),254,+,1.4,1.17e-11,1.14e-08
leukocyte differentiation (GO:0002521),37,+,3.54,3.16e-11,2.87e-08
hemopoiesis (GO:0030097),49,+,2.87,3.59e-11,3.07e-08
cell activation (GO:0001775),50,+,2.76,9.32e-11,7.52e-08
RNA metabolic process (GO:0016070),78,+,2.16,1.01e-10,7.71e-08
nucleobase-containing compound metabolic process (GO:0006139),116,+,1.79,2.17e-10,1.5e-07
T cell activation (GO:0042110),31,+,3.81,2.15e-10,1.56e-07
positive regulation of RNA metabolic process (GO:0051254),87,+,2.0,3.06e-10,2.02e-07
biological_process (GO:0008150),464,+,1.1,3.24e-10,2.05e-07
macromolecule biosynthetic process (GO:0009059),122,+,1.74,3.74e-10,2.09e-07
regulation of macromolecule metabolic process (GO:0060255),201,+,1.47,3.62e-10,2.1e-07
regulation of immune system process (GO:0002682),81,+,2.05,4.14e-10,2.23e-07
positive regulation of gene expression (GO:0010628),65,+,2.27,5.79e-10,3e-07
