block	ens_gene_id	ens_tx_id	mol_name	tissue	ref_name	type	chrom	tx_start	tx_stop	block_genes	trait	inference_pop1	inter_z_pop1	cv.R2_pop1	cv.R2.pval_pop1	ldregion_pop1	twas_z_pop1	pips_pop1	in_cred_set_pop1	symbol	tissues
14:81113370-14:82671753	ENSG00000258841_testis		ENSG00000258841_testis		gtex		14	80661427.0	82662874.0	20	trait	enet		0.0954287221430983	9.237138902033384e-08	14:81115751-14:82670396	2.41	0.194	1	ENSG00000258841	testis
14:54766963-14:55750162	ENSG00000180008_skin_sun_exposed_lower_leg		ENSG00000180008_skin_sun_exposed_lower_leg		gtex		14	54027229.0	56049488.0	29	trait	blup		0.0077081127600051	0.0631112229262081	14:54767649-14:55746091	2.31	0.103	1	ENSG00000180008	skin_sun_exposed_lower_leg
14:54766963-14:55750162	ENSG00000198554_adrenal_gland		ENSG00000198554_adrenal_gland		gtex		14	53938949.0	56027105.0	29	trait	lasso		0.0644685480060091	0.0001681947987579	14:54767649-14:55746091	-2.08	0.069	1	ENSG00000198554	adrenal_gland
14:54766963-14:55750162	ENSG00000198554_brain_basalganglia		ENSG00000198554_brain_basalganglia		gtex		14	53938949.0	56027105.0	29	trait	meta				14:54767649-14:55746091	1.95	0.0559	1	ENSG00000198554	brain_basalganglia
14:55750162-14:57014544	ENSG00000258469_testis		ENSG00000258469_testis		gtex		14	54298643.0	56299231.0	21	trait	blup		0.0203427915001297	0.0099821276681417	14:55756218-14:57014205	2.44	0.17	1	ENSG00000258469	testis
14:55750162-14:57014544	ENSG00000126775_brain_basalganglia		ENSG00000126775_brain_basalganglia		gtex		14	54366391.0	56411858.0	21	trait	meta				14:55756218-14:57014205	2.14	0.0967	1	ENSG00000126775	brain_basalganglia
3:69227611-3:70399877	ENSG00000240405_brain_substantia_nigra		ENSG00000240405_brain_substantia_nigra		gtex		3	68999576.0	71015318.0	11	trait	lasso		0.1405384863826863	6.646196646118525e-05	3:69229111-3:70397985	1.94	0.168	1	ENSG00000240405	brain_substantia_nigra
3:70399877-3:72480178	ENSG00000163412_testis		ENSG00000163412_testis		gtex		3	70675415.0	72753624.0	26	trait	lasso		0.0529190498788637	6.603150612427832e-05	3:70401635-3:72478611	-5.34	0.974	1	ENSG00000163412	testis
3:70399877-3:72480178	ENSG00000170837_artery_coronary		ENSG00000170837_artery_coronary		gtex		3	70754049.0	72756496.0	26	trait	blup		0.0355262985354325	0.0064676593650872	3:70401635-3:72478611	-2.09	0.135	1	ENSG00000170837	artery_coronary
3:70399877-3:72480178	ENSG00000277539_testis		ENSG00000277539_testis		gtex		3	70276086.0	72289616.0	26	trait	lasso		0.4743057599392259	1.6801024590333542e-40	3:70401635-3:72478611	2.08	0.0947	1	ENSG00000277539	testis
3:70399877-3:72480178	ENSG00000163412_liver		ENSG00000163412_liver		gtex		3	70675415.0	72753624.0	26	trait	lasso		0.0311396957358212	0.0096160988575651	3:70401635-3:72478611	-2.46	0.0944	1	ENSG00000163412	liver
3:70399877-3:72480178	ENSG00000170837_heart_left_ventricle		ENSG00000170837_heart_left_ventricle		gtex		3	70754049.0	72756496.0	26	trait	lasso		0.0853107471873313	6.17081419857256e-08	3:70401635-3:72478611	3.54	0.0383	1	ENSG00000170837	heart_left_ventricle
3:70399877-3:72480178	ENSG00000170837_skin_not_sun_exposed_suprapubic		ENSG00000170837_skin_not_sun_exposed_suprapubic		gtex		3	70754049.0	72756496.0	26	trait	lasso		0.122711681630356	6.83848270762701e-11	3:70401635-3:72478611	3.13	0.0374	1	ENSG00000170837	skin_not_sun_exposed_suprapubic
3:70399877-3:72480178	ENSG00000170837_artery_tibial		ENSG00000170837_artery_tibial		gtex		3	70754049.0	72756496.0	26	trait	lasso		0.1823979749211675	7.734304672383364e-16	3:70401635-3:72478611	2.7	0.0371	1	ENSG00000170837	artery_tibial
3:70399877-3:72480178	ENSG00000163412_nerve_tibial		ENSG00000163412_nerve_tibial		gtex		3	70675415.0	72753624.0	26	trait	lasso		0.2015175612507975	1.7131351791984685e-17	3:70401635-3:72478611	3.35	0.0343	1	ENSG00000163412	nerve_tibial
3:70399877-3:72480178	ENSG00000170837_heart_atrial_appendage		ENSG00000170837_heart_atrial_appendage		gtex		3	70754049.0	72756496.0	26	trait	lasso		0.1703791684849092	8.131691958322767e-15	3:70401635-3:72478611	3.42	0.0308	1	ENSG00000170837	heart_atrial_appendage
3:72480178-3:74272666	ENSG00000121440_adipose_subcutaneous		ENSG00000121440_adipose_subcutaneous		gtex		3	72382432.0	74624409.0	28	trait	enet		0.0765574441077135	2.945674577516086e-07	3:72481461-3:74269761	-2.09	0.0806	1	ENSG00000121440	adipose_subcutaneous
3:72480178-3:74272666	ENSG00000144736_nerve_tibial		ENSG00000144736_nerve_tibial		gtex		3	71749276.0	73861914.0	28	trait	lasso		0.0654646958442783	2.108324891086476e-06	3:72481461-3:74269761	1.94	0.061	1	ENSG00000144736	nerve_tibial
12:15088550-12:16157526	ENSG00000256238_esophagus_mucosa		ENSG00000256238_esophagus_mucosa		gtex		12	15399273.0	17402406.0	14	trait	enet		0.021887967591098	0.0046173992967241	12:15089416-12:16156604	0.762	0.062	1	ENSG00000256238	esophagus_mucosa
12:16157526-12:17934939	ENSG00000283240_artery_coronary		ENSG00000283240_artery_coronary		gtex		12	15661765.0	17788375.0	18	trait	blup		0.0820231126131144	5.74227979506425e-05	12:16163383-12:17933131	-2.68	0.182	1	ENSG00000283240	artery_coronary
12:16157526-12:17934939	ENSG00000256564_adrenal_gland		ENSG00000256564_adrenal_gland		gtex		12	15567410.0	17573940.0	18	trait	lasso		0.0304849502053552	0.0076676531242123	12:16163383-12:17933131	-2.5	0.118	1	ENSG00000256564	adrenal_gland
12:16157526-12:17934939	ENSG00000283240_adipose_subcutaneous		ENSG00000283240_adipose_subcutaneous		gtex		12	15661765.0	17788375.0	18	trait	lasso		0.2909482417634812	9.007352956786486e-26	12:16163383-12:17933131	-2.45	0.113	1	ENSG00000283240	adipose_subcutaneous
12:16157526-12:17934939	ENSG00000256389_testis		ENSG00000256389_testis		gtex		12	16589256.0	18615463.0	18	trait	enet		0.1213043461720175	1.5308997445969854e-09	12:16163383-12:17933131	2.09	0.109	1	ENSG00000256389	testis
12:16157526-12:17934939	ENSG00000256238_adipose_visceral_omentum		ENSG00000256238_adipose_visceral_omentum		gtex		12	15399273.0	17402406.0	18	trait	lasso		0.0430993372348241	0.0001083889764209	12:16163383-12:17933131	-2.32	0.0872	1	ENSG00000256238	adipose_visceral_omentum
12:16157526-12:17934939	ENSG00000283240_adipose_visceral_omentum		ENSG00000283240_adipose_visceral_omentum		gtex		12	15661765.0	17788375.0	18	trait	lasso		0.2180393477021989	5.93758051171597e-19	12:16163383-12:17933131	-2.22	0.0718	1	ENSG00000283240	adipose_visceral_omentum
12:16157526-12:17934939	ENSG00000008394_nerve_tibial		ENSG00000008394_nerve_tibial		gtex		12	15347141.0	17609259.0	18	trait	lasso		0.030896311428572	0.0009303760527953	12:16163383-12:17933131	2.16	0.0704	1	ENSG00000008394	nerve_tibial
12:16157526-12:17934939	ENSG00000048540_pancreas		ENSG00000048540_pancreas		gtex		12	15548372.0	17610594.0	18	trait	lasso		0.2120951648022746	7.456135796456631e-15	12:16163383-12:17933131	-1.97	0.0696	1	ENSG00000048540	pancreas
12:16157526-12:17934939	ENSG00000256564_cells_cultured_fibroblasts		ENSG00000256564_cells_cultured_fibroblasts		gtex		12	15567410.0	17573940.0	18	trait	lasso		0.108604914020708	9.142798808927823e-10	12:16163383-12:17933131	-2.16	0.0674	1	ENSG00000256564	cells_cultured_fibroblasts
12:16157526-12:17934939	ENSG00000283240_cells_cultured_fibroblasts		ENSG00000283240_cells_cultured_fibroblasts		gtex		12	15661765.0	17788375.0	18	trait	lasso		0.338483346572599	1.3516936729350378e-30	12:16163383-12:17933131	-1.92	0.0484	1	ENSG00000283240	cells_cultured_fibroblasts
12:17934939-12:20711009	ENSG00000052126_esophagus_mucosa		ENSG00000052126_esophagus_mucosa		gtex		12	18129751.0	20376400.0	31	trait	lasso		0.0426185131444795	0.0001179516284635	12:17939279-12:20710598	2.95	0.319	1	ENSG00000052126	esophagus_mucosa
12:17934939-12:20711009	ENSG00000255648_testis		ENSG00000255648_testis		gtex		12	17714794.0	19737878.0	31	trait	enet		0.0349881583771594	0.0010300561915426	12:17939279-12:20710598	2.57	0.137	1	ENSG00000255648	testis
6:70899807-6:72740374	ENSG00000079841_muscle_skeletal		ENSG00000079841_muscle_skeletal		gtex		6	70886702.0	73403143.0	24	trait	lasso		0.4630685260734931	4.523950428295204e-45	6:70900623-6:72734047	-3.11	0.363	1	ENSG00000079841	muscle_skeletal
6:70899807-6:72740374	ENSG00000079841_heart_left_ventricle		ENSG00000079841_heart_left_ventricle		gtex		6	70886702.0	73403143.0	24	trait	lasso		0.4701109150882651	5.5032173652399034e-46	6:70900623-6:72734047	-2.88	0.201	1	ENSG00000079841	heart_left_ventricle
6:70899807-6:72740374	ENSG00000279312_artery_aorta		ENSG00000279312_artery_aorta		gtex		6	70373252.0	72375387.0	24	trait	lasso		0.0445253524276939	8.435165016432714e-05	6:70900623-6:72734047	-2.4	0.0753	1	ENSG00000279312	artery_aorta
6:70899807-6:72740374	ENSG00000233237_cells_cultured_fibroblasts		ENSG00000233237_cells_cultured_fibroblasts		gtex		6	70344343.0	72420769.0	24	trait	blup		0.0285585933704287	0.0014072541637903	6:70900623-6:72734047	-2.3	0.0589	1	ENSG00000233237	cells_cultured_fibroblasts
6:70899807-6:72740374	ENSG00000232295_lung		ENSG00000232295_lung		gtex		6	70221456.0	72328228.0	24	trait	lasso		0.0585036424998088	7.207054386068362e-06	6:70900623-6:72734047	2.11	0.058	1	ENSG00000232295	lung
6:70899807-6:72740374	ENSG00000233237_breast_mammary_tissue		ENSG00000233237_breast_mammary_tissue		gtex		6	70344343.0	72420769.0	24	trait	lasso		0.0280155689386262	0.0015494755093344	6:70900623-6:72734047	-1.99	0.0541	1	ENSG00000233237	breast_mammary_tissue
6:72740374-6:74752287	ENSG00000233844_testis		ENSG00000233844_testis		gtex		6	71630494.0	73678558.0	40	trait	enet		0.0058426781238257	0.106534000479066	6:72742390-6:74746153	3.03	0.298	1	ENSG00000233844	testis
6:72740374-6:74752287	ENSG00000080007_colon_sigmoid		ENSG00000080007_colon_sigmoid		gtex		6	72395133.0	74417569.0	40	trait	meta				6:72742390-6:74746153	2.55	0.11	1	ENSG00000080007	colon_sigmoid
6:72740374-6:74752287	ENSG00000135297_liver		ENSG00000135297_liver		gtex		6	72461577.0	74509236.0	40	trait	lasso		0.2819245124758225	6.390288706033205e-15	6:72742390-6:74746153	2.17	0.0615	1	ENSG00000135297	liver
9:96159758-9:98830577	ENSG00000271155_colon_transverse		ENSG00000271155_colon_transverse		gtex		9	94506234.0	96507636.0	63	trait	meta				9:96160820-9:98828924	3.15	0.318	1	ENSG00000271155	colon_transverse
9:96159758-9:98830577	ENSG00000271155_esophagus_mucosa		ENSG00000271155_esophagus_mucosa		gtex		9	94506234.0	96507636.0	63	trait	lasso		0.0371665260406258	0.0003078202477166	9:96160820-9:98828924	-1.29	0.0879	1	ENSG00000271155	esophagus_mucosa
9:98830577-9:101862155	ENSG00000119523_adipose_subcutaneous		ENSG00000119523_adipose_subcutaneous		gtex		9	98216425.0	100221956.0	56	trait	blup		0.0306579536192145	0.0009704274139212	9:98831915-9:101861767	3.94	0.732	1	ENSG00000119523	adipose_subcutaneous
9:98830577-9:101862155	ENSG00000095383_brain_limbic		ENSG00000095383_brain_limbic		gtex		9	97198998.0	99255721.0	56	trait	meta				9:98831915-9:101861767	-3.65	0.473	1	ENSG00000095383	brain_limbic
9:98830577-9:101862155	ENSG00000204291_ovary		ENSG00000204291_ovary		gtex		9	97943178.0	100070792.0	56	trait	lasso		0.0097760891810151	0.125795493285479	9:98831915-9:101861767	3.16	0.471	1	ENSG00000204291	ovary
9:98830577-9:101862155	ENSG00000165138_brain_spinal_cord_cervical_c-1		ENSG00000165138_brain_spinal_cord_cervical_c-1		gtex		9	97731328.0	99796965.0	56	trait	enet		0.1320923986852613	3.8780024236323104e-05	9:98831915-9:101861767	-3.09	0.169	1	ENSG00000165138	brain_spinal_cord_cervical_c-1
9:98830577-9:101862155	ENSG00000165138_cells_ebv-transformed_lymphocytes		ENSG00000165138_cells_ebv-transformed_lymphocytes		gtex		9	97731328.0	99796965.0	56	trait	lasso		0.120351308161358	8.049575404075065e-05	9:98831915-9:101861767	-3.81	0.142	1	ENSG00000165138	cells_ebv-transformed_lymphocytes
9:98830577-9:101862155	ENSG00000204291_artery_tibial		ENSG00000204291_artery_tibial		gtex		9	97943178.0	100070792.0	56	trait	blup		0.0425523223405415	0.0001193325296794	9:98831915-9:101861767	-4.09	0.135	1	ENSG00000204291	artery_tibial
9:98830577-9:101862155	ENSG00000270412_artery_tibial		ENSG00000270412_artery_tibial		gtex		9	97943336.0	99943638.0	56	trait	lasso		0.0331455225116991	0.0006253387435374	9:98831915-9:101861767	-3.04	0.0861	1	ENSG00000270412	artery_tibial
9:98830577-9:101862155	ENSG00000165244_nerve_tibial		ENSG00000165244_nerve_tibial		gtex		9	95385940.0	97418329.0	56	trait	enet		0.0674361875581612	1.487383783696405e-06	9:98831915-9:101861767	-2.51	0.0544	1	ENSG00000165244	nerve_tibial
9:98830577-9:101862155	ENSG00000196312_adipose_subcutaneous		ENSG00000196312_adipose_subcutaneous		gtex		9	95897916.0	98013600.0	56	trait	lasso		0.0855762399932954	5.884179505882864e-08	9:98831915-9:101861767	2.5	0.0401	1	ENSG00000196312	adipose_subcutaneous
9:98830577-9:101862155	ENSG00000204291_heart_atrial_appendage		ENSG00000204291_heart_atrial_appendage		gtex		9	97943178.0	100070792.0	56	trait	blup		0.0204320395586697	0.0059968245996845	9:98831915-9:101861767	-3.79	0.0391	1	ENSG00000204291	heart_atrial_appendage
9:98830577-9:101862155	ENSG00000197816_nerve_tibial		ENSG00000197816_nerve_tibial		gtex		9	96307360.0	98376933.0	56	trait	lasso		0.1729483122952925	4.9308740837400476e-15	9:98831915-9:101861767	-2.62	0.0334	1	ENSG00000197816	nerve_tibial
9:98830577-9:101862155	ENSG00000235494_testis		ENSG00000235494_testis		gtex		9	96233200.0	98235014.0	56	trait	lasso		0.2067952799479083	9.20688964873122e-16	9:98831915-9:101861767	-2.62	0.0329	1	ENSG00000235494	testis
9:101862155-9:103205694	ENSG00000106799_whole_blood		ENSG00000106799_whole_blood		gtex		9	98104037.0	100154192.0	9	trait	enet		0.0806492425578035	1.4202848407750398e-07	9:101864098-9:103202590	-3.23	0.466	1	ENSG00000106799	whole_blood
9:101862155-9:103205694	ENSG00000204291_artery_aorta		ENSG00000204291_artery_aorta		gtex		9	97943178.0	100070792.0	9	trait	lasso		0.196090694270363	5.095473397518358e-17	9:101864098-9:103202590	2.76	0.134	1	ENSG00000204291	artery_aorta
9:101862155-9:103205694	ENSG00000204291_thyroid		ENSG00000204291_thyroid		gtex		9	97943178.0	100070792.0	9	trait	lasso		0.118995638256681	1.3584643315225746e-10	9:101864098-9:103202590	1.71	0.119	1	ENSG00000204291	thyroid
9:101862155-9:103205694	ENSG00000270412_testis		ENSG00000270412_testis		gtex		9	97943336.0	99943638.0	9	trait	enet		0.3251688328055254	1.6543002291670628e-25	9:101864098-9:103202590	1.33	0.116	1	ENSG00000270412	testis
9:101862155-9:103205694	ENSG00000165138_cells_cultured_fibroblasts		ENSG00000165138_cells_cultured_fibroblasts		gtex		9	97731328.0	99796965.0	9	trait	enet		0.0422674877511323	0.0001254618703501	9:101864098-9:103202590	-0.924	0.112	1	ENSG00000165138	cells_cultured_fibroblasts
