chrom,ensembl,symbol,group,tx_start,tx_stop,gene_center,twas_z,pip,in_cred_set,x_plot
5,ENSG00000169567,HINT1,cd4_naive,130159026.0,132171735.0,131165380.5,-5.64,0.992,1,131.16596626204714
5,ENSG00000158985,CDC42SE2,b_memory,130245492.0,132398447.0,131321969.5,3.1,0.00529,0,131.32455177239646
5,ENSG00000158987,RAPGEF6,cd8_tcm,130423920.0,132635236.0,131529578.0,10.54,0.00267,0,131.53081116051283
5,ENSG00000169567,HINT1,treg,130159026.0,132171735.0,131165380.5,-4.51,0.0003,0,131.16591909819596
5,ENSG00000169567,HINT1,cd8_tcm,130159026.0,132171735.0,131165380.5,5.95,4.49e-07,0,131.16446435759207
5,ENSG00000169567,HINT1,nk_cd56bright,130159026.0,132171735.0,131165380.5,-5.15,3.64e-07,0,131.16713122935678
5,ENSG00000158985,CDC42SE2,cd4_naive,130245492.0,132398447.0,131321969.5,7.8,1.17e-07,0,131.32122054653516
5,ENSG00000158987,RAPGEF6,treg,130423920.0,132635236.0,131529578.0,2.01,5.43e-08,0,131.53427927600936
5,ENSG00000158985,CDC42SE2,cd8_tcm,130245492.0,132398447.0,131321969.5,4.98,4.23e-08,0,131.327533453126
5,ENSG00000169567,HINT1,b_naive,130159026.0,132171735.0,131165380.5,4.78,1.64e-08,0,131.1639817982259
5,ENSG00000158985,CDC42SE2,nk,130245492.0,132398447.0,131321969.5,2.6,1.32e-08,0,131.32547020045698
5,ENSG00000158985,CDC42SE2,cd4_tcm,130245492.0,132398447.0,131321969.5,2.24,1.32e-08,0,131.32231623903704
5,ENSG00000169567,HINT1,cd4_tem,130159026.0,132171735.0,131165380.5,-3.7,1.26e-08,0,131.16619703473313
5,ENSG00000158987,RAPGEF6,cd4_tcm,130423920.0,132635236.0,131529578.0,2.47,1.18e-08,0,131.5346851596595
5,ENSG00000158985,CDC42SE2,mait,130245492.0,132398447.0,131321969.5,3.39,1.16e-08,0,131.31682193269836
5,ENSG00000158987,RAPGEF6,cd4_naive,130423920.0,132635236.0,131529578.0,3.37,1.12e-08,0,131.5246235515964
