chrom,ensembl,symbol,group,tx_start,tx_stop,gene_center,twas_z,pip,in_cred_set,x_plot
17,ENSG00000264968,RP11-387H17.4,adipose_visceral_omentum,38927741.0,40939601.0,39933671.0,-21.82,1.0,1,39.93425676204713
17,ENSG00000073605,GSDMB,colon_transverse,38904594.0,40918650.0,39911622.0,13.36,1.0,1,39.91420427239647
17,ENSG00000264968,RP11-387H17.4,thyroid,38927741.0,40939601.0,39933671.0,10.6,0.832,1,39.93490416051286
17,ENSG00000264968,RP11-387H17.4,artery_coronary,38927741.0,40939601.0,39933671.0,10.6,0.111,0,39.93420959819596
17,ENSG00000264968,RP11-387H17.4,esophagus_muscularis,38927741.0,40939601.0,39933671.0,10.6,0.0563,0,39.93275485759207
17,ENSG00000264968,RP11-387H17.4,nerve_tibial,38927741.0,40939601.0,39933671.0,10.6,7.1e-08,0,39.9354217293568
17,ENSG00000264968,RP11-387H17.4,muscle_skeletal,38927741.0,40939601.0,39933671.0,10.6,1.12e-08,0,39.93292204653515
17,ENSG00000264968,RP11-387H17.4,artery_aorta,38927741.0,40939601.0,39933671.0,14.7,1.76e-14,0,39.93837227600938
17,ENSG00000264968,RP11-387H17.4,testis,38927741.0,40939601.0,39933671.0,8.73,2.6e-15,0,39.93923495312601
17,ENSG00000264968,RP11-387H17.4,breast_mammary_tissue,38927741.0,40939601.0,39933671.0,3.66,5.09e-16,0,39.932272298225904
17,ENSG00000172057,ORMDL3,skin_sun_exposed_lower_leg,38921040.0,40927601.0,39924320.5,22.3,3.79e-16,0,39.92782120045699
17,ENSG00000073605,GSDMB,cells_ebv-transformed_lymphocytes,38904594.0,40918650.0,39911622.0,-12.59,3.79e-16,0,39.91196873903704
17,ENSG00000172057,ORMDL3,cells_cultured_fibroblasts,38921040.0,40927601.0,39924320.5,19.28,3.22e-17,0,39.925137034733126
17,ENSG00000073605,GSDMB,stomach,38904594.0,40918650.0,39911622.0,-22.15,3.9e-25,0,39.91672915965951
17,ENSG00000161395,PGAP3,liver,38671121.0,40696797.0,39683959.0,3.32,3.9e-25,0,39.678811432698375
17,ENSG00000073605,GSDMB,spleen,38904594.0,40918650.0,39911622.0,-19.9,1.41e-27,0,39.90666755159642
17,ENSG00000172057,ORMDL3,cells_ebv-transformed_lymphocytes,38921040.0,40927601.0,39924320.5,-22.05,2.4300000000000002e-29,0,39.918563120769285
17,ENSG00000264968,RP11-387H17.4,adipose_subcutaneous,38927741.0,40939601.0,39933671.0,5.38,4.34e-30,0,39.937662438146575
17,ENSG00000186075,ZPBP2,testis,38868163.0,40877896.0,39873029.5,14.06,2.25e-37,0,39.8763673810114
17,ENSG00000264968,RP11-387H17.4,artery_tibial,38927741.0,40939601.0,39933671.0,9.76,1.58e-41,0,39.93811114577896
17,ENSG00000073605,GSDMB,esophagus_muscularis,38904594.0,40918650.0,39911622.0,7.88,5.210000000000001e-43,0,39.9173654201068
17,ENSG00000008838,MED24,thyroid,39019096.0,41061215.0,40040155.5,13.52,3.55e-43,0,40.0437454027706
