gene_name,ensembl_id,top_cell_type,max_pip,twas_z_pop1,chrom,tx_start,tx_stop,block
SYNRG,ENSG00000275066,cd4_tcm,1.0,11.1,17,36514796.0,38609496.0,17:36141651-17:38653091
MAP3K8,ENSG00000107968,nk,1.0,5.03,10,29433936.0,31461833.0,10:30169909-10:31618591
KLF3,ENSG00000109787,nk,1.0,-8.34,4,37680586.0,39701042.0,4:37253425-4:38905401
LINC00299,ENSG00000236790,nk,1.0,6.35,2,7007770.0,9383621.0,2:8282017-2:10158342
LSM14A,ENSG00000257103,cd4_tcm,1.0,-7.03,19,33172503.0,35229515.0,19:32255614-19:33772047
ZFAND2A,ENSG00000178381,cd16_mono,1.0,5.05,7,152070.0,2160759.0,7:933116-7:1313431
BCLAF1,ENSG00000029363,treg,1.0,4.16,6,135256626.0,137289851.0,6:135903039-6:137293081
AHI1,ENSG00000135541,b_intermediate,1.0,-6.91,6,134283531.0,136497776.0,6:133923105-6:135903039
IL18R1,ENSG00000115604,nk_cd56bright,1.0,5.13,2,101355928.0,103398775.0,2:102072305-2:102971757
LITAF,ENSG00000189067,treg,1.0,12.5,16,10547721.0,12636381.0,16:10332175-16:11426305
MKRN1,ENSG00000133606,cd4_ctl,1.0,5.08,7,139453039.0,141479569.0,7:140535410-7:141526757
RNASET2,ENSG00000026297,nk_cd56bright,1.0,4.72,6,165929503.0,167957184.0,6:166611245-6:167642155
TAPBP,ENSG00000231925,treg,1.0,6.05,6,32299693.0,34314387.0,6:32714887-6:33268720
NSMCE1,ENSG00000169189,cd8_tcm,1.0,-7.91,16,26224990.0,28268794.0,16:25975541-16:27434434
CDK5RAP3,ENSG00000108465,mait,1.0,-8.4,17,46967809.0,48981772.0,17:44979537-17:47798656
DIAPH1,ENSG00000131504,mait,1.0,-6.43,5,140515015.0,142619055.0,5:141266403-5:143601683
HLA-DPB1,ENSG00000223865,cd4_tcm,1.0,0.556,6,32075925.0,34087201.0,6:31603441-6:32714887
SRM,ENSG00000116649,cd16_mono,1.0,-5.36,1,10054588.0,12060024.0,1:9305140-1:10746927
RCSD1,ENSG00000198771,cd4_ctl,0.999,5.27,1,166630092.0,168706249.0,1:166491280-1:169117086
TNFRSF18,ENSG00000186891,nk,0.999,-5.98,1,203507.0,2206691.0,1:10583-1:1961168
RPL19,ENSG00000108298,b_intermediate,0.999,5.4,17,38200282.0,40204727.0,17:38653091-17:40721152
COMMD3,ENSG00000148444,nk_cd56bright,0.999,-5.24,10,21315973.0,23320308.0,10:19427949-10:22483354
CDK2AP1,ENSG00000111328,cd16_mono,0.999,6.55,12,122261483.0,124272334.0,12:121569746-12:124493434
FNIP1,ENSG00000217128,nk,0.999,2.36,5,130641713.0,132797063.0,5:130183332-5:132803957
HLA-DPA1,ENSG00000231389,cd4_ctl,0.997,2.47,6,32064568.0,34073772.0,6:32714887-6:33268720
IRF1,ENSG00000125347,cd4_ctl,0.997,-6.58,5,131481608.0,133490798.0,5:130183332-5:132803957
KIAA2026,ENSG00000183354,nk_cd56bright,0.997,-4.82,9,4881595.0,7007825.0,9:4884926-9:6557589
PRKCQ-AS1,ENSG00000237943,cd4_naive,0.996,-5.08,10,5580418.0,7616452.0,10:5941799-10:7129522
RHOF,ENSG00000139725,cd8_tcm,0.996,-4.88,12,120793150.0,122800677.0,12:119316305-12:121569746
ACTR3,ENSG00000115091,cd4_tcm,0.996,-4.81,2,112889959.0,114962596.0,2:113164279-2:116014894
TNFAIP3,ENSG00000118503,cd4_naive,0.993,-4.68,6,136867187.0,138883312.0,6:137293081-6:138501492
HINT1,ENSG00000169567,cd4_naive,0.992,-5.5,5,130159026.0,132171735.0,5:130183332-5:132803957
SNRPD3,ENSG00000100028,b_memory,0.991,-4.63,22,23555502.0,25583749.0,22:24588236-22:26395662
GADD45B,ENSG00000099860,b_memory,0.987,4.55,19,1476126.0,3478259.0,19:2098397-19:3019662
