gene_name,ensembl_id,top_tissue,max_pip,twas_z_pop1,chrom,tx_start,tx_stop,block
CTD-2561J22.5,ENSG00000268119,skin_sun_exposed_lower_leg,1.0,-3.25,19,20444240.0,22463908.0,19:20722951-19:22550094
TSLP,ENSG00000145777,artery_coronary,1.0,8.53,5,110070061.0,112078024.0,5:109298233-5:111485446
MDN1,ENSG00000112159,artery_aorta,1.0,4.87,6,88642498.0,90819723.0,6:89263333-6:91133478
RN7SL145P,ENSG00000244357,colon_sigmoid,1.0,-4.72,3,44742674.0,46742970.0,3:45123661-3:46616010
RAB5B,ENSG00000111540,muscle_skeletal,1.0,-7.43,12,54973912.0,56996683.0,12:55272053-12:57155077
GAPDHP22,ENSG00000234005,testis,1.0,7.62,13,98190578.0,100190991.0,13:99921841-13:101648173
RAD50,ENSG00000113522,pituitary,1.0,-14.0,5,131556018.0,133646344.0,5:130183332-5:132803957
WDPCP,ENSG00000143951,adipose_subcutaneous,1.0,-1.99,2,62121382.0,64827843.0,2:62201909-2:64398779
HAPLN4,ENSG00000187664,artery_aorta,1.0,-3.03,19,18256141.0,20262796.0,19:18299052-19:19766662
CILP2,ENSG00000160161,adipose_visceral_omentum,1.0,-3.32,19,18538247.0,20546659.0,19:18299052-19:19766662
KIAA1109,ENSG00000138688,adrenal_gland,1.0,7.82,4,121152332.0,123362758.0,4:123365326-4:124289707
TRPC3,ENSG00000138741,adipose_visceral_omentum,1.0,4.29,4,120879026.0,122951754.0,4:123365326-4:124289707
HLA-DQB1,ENSG00000179344,brain_substantia_nigra,1.0,-10.2,6,31659466.0,33668383.0,6:32714887-6:33268720
HLA-DOB,ENSG00000241106,cells_cultured_fibroblasts,1.0,4.97,6,31812762.0,33817048.0,6:32714887-6:33268720
TAP2,ENSG00000204267,stomach,1.0,-8.89,6,31821832.0,33838780.0,6:32714887-6:33268720
USP49,ENSG00000164663,adipose_subcutaneous,1.0,-6.31,6,40789898.0,42895361.0,6:40377376-6:42070983
HLA-DRB6,ENSG00000229391,colon_sigmoid,1.0,-18.0,6,31552712.0,33560022.0,6:31603441-6:32714887
EHMT2,ENSG00000204371,whole_blood,1.0,3.01,6,30879758.0,32897684.0,6:31603441-6:32714887
MICB,ENSG00000204516,cells_ebv-transformed_lymphocytes,1.0,2.29,6,30494880.0,32511124.0,6:30830391-6:31603441
RP11-78O7.2,ENSG00000270091,pituitary,1.0,-2.15,17,18896589.0,20897287.0,17:18953007-17:21387045
CD247,ENSG00000198821,brain_cerebellum,1.0,-6.75,1,166430639.0,168518610.0,1:166491280-1:169117086
PHF5A,ENSG00000100410,minor_salivary_gland,1.0,-6.57,22,40459716.0,42468725.0,22:40149793-22:42294812
ACO2,ENSG00000100412,prostate,1.0,2.05,22,40469124.0,42525348.0,22:40149793-22:42294812
THOP1,ENSG00000172009,artery_tibial,1.0,-0.916,19,1785459.0,3815807.0,19:2098397-19:3019662
TMEM232,ENSG00000186952,liver,1.0,10.9,5,109289232.0,111738956.0,5:109298233-5:111485446
DNAJB12,ENSG00000148719,cells_cultured_fibroblasts,1.0,-3.37,10,71332829.0,73355230.0,10:73662792-10:76947056
RP4-660H19.1,ENSG00000225087,testis,1.0,6.07,1,71748920.0,73899140.0,1:71218722-1:73861224
NUDT6,ENSG00000170917,artery_aorta,1.0,-1.76,4,121888696.0,123922968.0,4:121736832-4:123365326
CETN4P,ENSG00000224786,heart_left_ventricle,1.0,8.89,4,121730547.0,123732193.0,4:121736832-4:123365326
BBS12,ENSG00000181004,brain_substantia_nigra,1.0,0.37,4,121732701.0,123744943.0,4:121736832-4:123365326
ACTN3,ENSG00000248746,testis,1.0,4.48,11,65546394.0,67563329.0,11:66131160-11:68238358
