PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000188976.10.wgt.RDat	NOC2L	1	-55419	1959309	0.174	rs11721	6.1	rs3748595	0.00954	-3.70	-0.579	126	126	blup	0.036	0.00041	-0.951	3.41e-01
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000187583.10.wgt.RDat	PLEKHN1	1	-33504	1975108	0.172	rs11721	6.1	rs3748595	0.07281	 5.39	-0.579	126	  1	top1	0.073	5.7e-07	-0.579	5.63e-01
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000188290.10.wgt.RDat	HES4	1	-1039	2000172	0.129	rs11721	6.1	rs3934834	0.03031	 4.06	 0.338	126	  2	lasso	0.052	2.3e-05	 0.266	7.90e-01
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000187608.8.wgt.RDat	ISG15	1	1137	2014541	0.132	rs11721	6.1	rs3121567	0.07012	 4.91	-1.298	126	  1	top1	0.07	9.2e-07	-1.298	1.94e-01
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000217801.9.wgt.RDat	RP11-465B22	1	59733	2069355	0.138	rs11721	6.1	rs7526076	0.05595	-5.84	 0.412	134	134	blup	0.081	1.2e-07	 0.290	7.72e-01
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000186891.13.wgt.RDat	TNFRSF18	1	203507	2206691	0.134	rs11721	6.1	rs6697886	0.02798	-5.29	 4.932	150	150	blup	0.078	2.4e-07	-4.542	5.58e-06
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000078808.16.wgt.RDat	SDF4	1	216907	2232031	0.114	rs11721	6.1	rs7515488	0.08406	-5.39	 5.175	150	  1	top1	0.084	7.7e-08	-5.175	2.28e-07
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000169962.4.wgt.RDat	TAS1R3	1	331313	2335275	0.112	rs11721	6.1	rs1810745	0.08155	-5.30	-0.927	169	  1	top1	0.082	1.2e-07	 0.927	3.54e-01
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000160072.19.wgt.RDat	ATAD3B	1	471768	2496202	0.188	rs11721	6.1	rs2031709	0.09656	-5.62	 2.038	186	  1	top1	0.097	8.2e-09	-2.038	4.15e-02
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000248333.8.wgt.RDat	CDK11B	1	635263	2659012	0.236	rs11721	6.1	rs7520934	0.04663	-4.22	 1.160	209	209	blup	0.079	1.9e-07	 0.532	5.95e-01
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000189339.11.wgt.RDat	SLC35E2B	1	659528	2692728	0.464	rs11721	6.1	rs4648786	0.08218	-6.25	 1.724	210	  7	lasso	0.16	1.4e-13	-2.050	4.04e-02
whole_blood	weights/META_Whole_Blood/Whole_Blood.ENSG00000269737.2.wgt.RDat	RP11-345P4	1	671989	2674397	0.278	rs11721	6.1	rs28464684	0.12642	 7.15	 0.842	208	  3	enet	0.13	9.3e-12	 1.036	3.00e-01
