block	ens_gene_id	ens_tx_id	mol_name	tissue	ref_name	type	chrom	tx_start	tx_stop	block_genes	trait	inference_pop1	inter_z_pop1	cv.R2_pop1	cv.R2.pval_pop1	ldregion_pop1	twas_z_pop1	pips_pop1	in_cred_set_pop1	symbol	tissues
10:94461486-10:96062600	ENSG00000138185_b_intermediate		ENSG00000138185_b_intermediate		onek1k		10	94711778.0	96869695.0	31	trait	blup		0.0017503449882497	0.1015111286065604	10:94462427-10:96061793	-2.97	0.355	1	ENSG00000138185	b_intermediate
3:100873373-3:103366116	ENSG00000144802_b_intermediate		ENSG00000144802_b_intermediate		onek1k		3	100827990.0	102861022.0	31	trait	lasso		0.0038029937451223	0.0308965659027937	3:100874290-3:103364897	-5.16	0.966	1	ENSG00000144802	b_intermediate
3:100873373-3:103366116	ENSG00000081154_cd8_naive		ENSG00000081154_cd8_naive		onek1k		3	100574094.0	102594437.0	31	trait	lasso		0.0031223437974227	0.046625055390162	3:100874290-3:103364897	4.54	0.733	1	ENSG00000081154	cd8_naive
3:100873373-3:103366116	ENSG00000174173_cd4_naive		ENSG00000174173_cd4_naive		onek1k		3	100561861.0	102566446.0	31	trait	blup		0.0098639069294409	0.0011494673505238	3:100874290-3:103364897	-4.16	0.223	1	ENSG00000174173	cd4_naive
3:100873373-3:103366116	ENSG00000081154_cd4_ctl		ENSG00000081154_cd4_ctl		onek1k		3	100574094.0	102594437.0	31	trait	lasso		-0.0006923870157815	0.5068595555735399	3:100874290-3:103364897	2.94	0.182	1	ENSG00000081154	cd4_ctl
10:91575290-10:93636611	ENSG00000152804_b_intermediate		ENSG00000152804_b_intermediate		onek1k		10	91689950.0	93695646.0	41	trait	lasso		0.006283621569361	0.0079113894701733	10:91575676-10:93635541	2.62	0.152	1	ENSG00000152804	b_intermediate
19:15537799-19:16263605	ENSG00000167460_cd4_tem		ENSG00000167460_cd4_tem		onek1k		19	15067020.0	17103005.0	45	trait	lasso		0.0013983366322926	0.1295249387365685	19:15539439-19:16259460	-2.67	0.149	1	ENSG00000167460	cd4_tem
19:16263605-19:18299052	ENSG00000167461_b_intermediate		ENSG00000167461_b_intermediate		onek1k		19	15111628.0	17134027.0	103	trait	lasso		0.0054163247960303	0.0126637828215366	19:16265494-19:18294833	-3.67	0.513	1	ENSG00000167461	b_intermediate
19:16263605-19:18299052	ENSG00000130313_b_intermediate		ENSG00000130313_b_intermediate		onek1k		19	16511889.0	18521288.0	103	trait	lasso		0.0141383705643632	0.0001276757099704	19:16265494-19:18294833	-3.5	0.371	1	ENSG00000130313	b_intermediate
19:18299052-19:19766662	ENSG00000105669_nk_cd56bright		ENSG00000105669_nk_cd56bright		onek1k		19	17899513.0	19919397.0	67	trait	blup		0.0006199245862795	0.2109692787821824	19:18304700-19:19765568	2.41	0.282	1	ENSG00000105669	nk_cd56bright
19:18299052-19:19766662	ENSG00000130511_nk		ENSG00000130511_nk		onek1k		19	17418863.0	19434387.0	67	trait	lasso		0.0002921650641743	0.2576415774096688	19:18304700-19:19765568	-3.0	0.214	1	ENSG00000130511	nk
19:18299052-19:19766662	ENSG00000105700_cd16_mono		ENSG00000105700_cd16_mono		onek1k		19	17557761.0	19569387.0	67	trait	blup		0.0003386706343716	0.2534992148356341	19:18304700-19:19765568	-2.41	0.179	1	ENSG00000105700	cd16_mono
14:67525600-14:70665240	ENSG00000185650_b_naive		ENSG00000185650_b_naive		onek1k		14	67787659.0	69796253.0	77	trait	blup		0.0198430584300937	6.724963876592006e-06	14:67525696-14:70660473	2.34	0.653	1	ENSG00000185650	b_naive
14:67525600-14:70665240	ENSG00000185650_nk		ENSG00000185650_nk		onek1k		14	67787659.0	69796253.0	77	trait	enet		1.854953330138187e-05	0.3132566650015115	14:67525696-14:70660473	-4.4	0.633	1	ENSG00000185650	nk
14:67525600-14:70665240	ENSG00000100632_cd8_tcm		ENSG00000100632_cd8_tcm		onek1k		14	68380122.0	70398627.0	77	trait	lasso		0.0054084402312526	0.0127574034069502	14:67525696-14:70660473	-3.32	0.438	1	ENSG00000100632	cd8_tcm
14:67525600-14:70665240	ENSG00000100632_b_intermediate		ENSG00000100632_b_intermediate		onek1k		14	68380122.0	70398627.0	77	trait	lasso		0.0051165092080751	0.0149191970967311	14:67525696-14:70660473	-4.39	0.235	1	ENSG00000100632	b_intermediate
14:70665240-14:72422907	ENSG00000100731_cd8_tcm		ENSG00000100731_cd8_tcm		onek1k		14	69907404.0	72115382.0	23	trait	lasso		0.0004926051696128	0.2250728773443592	14:70669002-14:72419821	-2.22	0.127	1	ENSG00000100731	cd8_tcm
7:4533797-7:5376601	ENSG00000075624_cd14_mono		ENSG00000075624_cd14_mono		onek1k		7	4527150.0	6563784.0	19	trait	enet		0.0025478465718685	0.0667995745021391	7:4534797-7:5376068	-3.01	0.51	1	ENSG00000075624	cd14_mono
7:5814895-7:6534226	ENSG00000136240_cd8_tem		ENSG00000136240_cd8_tem		onek1k		7	5461080.0	7484242.0	23	trait	enet		0.0816396804521979	7.316880412665101e-20	7:5816997-7:6527973	4.14	0.2	1	ENSG00000136240	cd8_tem
7:5814895-7:6534226	ENSG00000136240_nk		ENSG00000136240_nk		onek1k		7	5461080.0	7484242.0	23	trait	lasso		0.1420120566260616	2.81884287290497e-34	7:5816997-7:6527973	4.12	0.189	1	ENSG00000136240	nk
7:5814895-7:6534226	ENSG00000136240_cd4_tcm		ENSG00000136240_cd4_tcm		onek1k		7	5461080.0	7484242.0	23	trait	lasso		0.2133794534432972	1.3414193345675617e-52	7:5816997-7:6527973	4.12	0.189	1	ENSG00000136240	cd4_tcm
7:5814895-7:6534226	ENSG00000136240_b_intermediate		ENSG00000136240_b_intermediate		onek1k		7	5461080.0	7484242.0	23	trait	lasso		0.0044165595609929	0.0219409334884768	7:5816997-7:6527973	4.12	0.189	1	ENSG00000136240	b_intermediate
7:5814895-7:6534226	ENSG00000136240_cd8_naive		ENSG00000136240_cd8_naive		onek1k		7	5461080.0	7484242.0	23	trait	enet		0.0198510338781372	7.838071376385293e-06	7:5816997-7:6527973	4.12	0.189	1	ENSG00000136240	cd8_naive
7:5814895-7:6534226	ENSG00000136240_b_memory		ENSG00000136240_b_memory		onek1k		7	5461080.0	7484242.0	23	trait	lasso		0.0312285241423607	1.926242206507697e-08	7:5816997-7:6527973	4.06	0.153	1	ENSG00000136240	b_memory
7:6534226-7:7769121	ENSG00000136240_cd16_mono		ENSG00000136240_cd16_mono		onek1k		7	5461080.0	7484242.0	36	trait	blup		0.0031249696999674	0.0507249039291834	7:6535517-7:7767730	2.72	0.0889	1	ENSG00000136240	cd16_mono
7:6534226-7:7769121	ENSG00000136240_nk_cd56bright		ENSG00000136240_nk_cd56bright		onek1k		7	5461080.0	7484242.0	36	trait	lasso		0.0108769100627794	0.0009217670755109	7:6535517-7:7767730	2.9	0.085	1	ENSG00000136240	nk_cd56bright
4:99757203-4:102300199	ENSG00000070190_b_intermediate		ENSG00000070190_b_intermediate		onek1k		4	98816832.0	100870154.0	24	trait	lasso		0.00131595724924	0.1324313263880596	4:99759132-4:102293544	2.35	0.151	1	ENSG00000070190	b_intermediate
12:89288345-12:91672378	ENSG00000271614_b_intermediate		ENSG00000271614_b_intermediate		onek1k		12	88708958.0	90712590.0	33	trait	lasso		0.0003085903752446	0.2550538774046009	12:89292082-12:91672095	-2.31	0.106	1	ENSG00000271614	b_intermediate
21:33004691-21:33853161	ENSG00000159140_b_intermediate		ENSG00000159140_b_intermediate		onek1k		21	32542892.0	34577481.0	22	trait	lasso		0.0037671886867145	0.0315243427216065	21:33005992-21:33852188	2.24	0.133	1	ENSG00000159140	b_intermediate
6:133923105-6:135903039	ENSG00000135541_b_intermediate		ENSG00000135541_b_intermediate		onek1k		6	134283531.0	136497776.0	36	trait	lasso		0.0458213198370837	1.152337100804504e-11	6:133923265-6:135899344	-6.91	1.0	1	ENSG00000135541	b_intermediate
6:135903039-6:137293081	ENSG00000029363_treg		ENSG00000029363_treg		onek1k		6	135256626.0	137289851.0	27	trait	lasso		0.0124803197022065	0.0003377988578905	6:135903317-6:137292032	4.16	1.0	1	ENSG00000029363	treg
6:135903039-6:137293081	ENSG00000029363_b_naive		ENSG00000029363_b_naive		onek1k		6	135256626.0	137289851.0	27	trait	blup		0.0043343593351012	0.0229074802057489	6:135903317-6:137292032	-1.64	0.986	1	ENSG00000029363	b_naive
15:47843851-15:49715846	ENSG00000255302_cd4_tcm		ENSG00000255302_cd4_tcm		onek1k		15	47878054.0	49880183.0	40	trait	enet		0.0150091308863407	7.762519512923902e-05	15:47850326-15:49712097	2.73	0.192	1	ENSG00000255302	cd4_tcm
15:49715846-15:51385363	ENSG00000138592_b_intermediate		ENSG00000138592_b_intermediate		onek1k		15	49424379.0	51514419.0	39	trait	lasso		0.0011843578380079	0.1437631015887718	15:49716007-15:51385334	-3.29	0.52	1	ENSG00000138592	b_intermediate
8:28304875-8:29470379	ENSG00000168081_b_intermediate		ENSG00000168081_b_intermediate		onek1k		8	27316985.0	29343355.0	25	trait	blup		0.0044914625769423	0.0210490195003316	8:28307911-8:29469640	4.04	0.956	1	ENSG00000168081	b_intermediate
8:29470379-8:31276213	ENSG00000133872_gdt		ENSG00000133872_gdt		onek1k		8	29063011.0	31082424.0	47	trait	blup		0.0047628634799649	0.0190830365011489	8:29470596-8:31272835	-2.55	0.118	1	ENSG00000133872	gdt
7:28320690-7:31097675	ENSG00000146592_cd14_mono		ENSG00000146592_cd14_mono		onek1k		7	27299320.0	29825894.0	49	trait	lasso		6.265683731110361e-05	0.3039206141462886	7:28325466-7:31097459	-2.58	0.12	1	ENSG00000146592	cd14_mono
2:195582732-2:197213386	ENSG00000065413_b_intermediate		ENSG00000065413_b_intermediate		onek1k		2	195967016.0	198311173.0	22	trait	blup		0.0012427435508294	0.1386068377901672	2:195583436-2:197209940	-2.8	0.344	1	ENSG00000065413	b_intermediate
8:60422-8:1094217	ENSG00000104714_b_intermediate		ENSG00000104714_b_intermediate		onek1k		8	-385255.0	1738106.0	24	trait	blup		0.0096958088116165	0.0012896841523506	8:164984-8:1094105	-2.1	0.0965	1	ENSG00000104714	b_intermediate
5:155946495-5:157201689	ENSG00000135074_b_naive		ENSG00000135074_b_naive		onek1k		5	156395595.0	158575775.0	14	trait	enet		0.0132905366594369	0.0001965792836905	5:155951563-5:157201540	-4.44	0.517	1	ENSG00000135074	b_naive
5:155946495-5:157201689	ENSG00000055163_b_naive		ENSG00000055163_b_naive		onek1k		5	156266078.0	158395533.0	14	trait	lasso		0.0051069441594934	0.0149540656795076	5:155951563-5:157201540	3.61	0.437	1	ENSG00000055163	b_naive
5:155946495-5:157201689	ENSG00000135074_b_intermediate		ENSG00000135074_b_intermediate		onek1k		5	156395595.0	158575775.0	14	trait	enet		0.0227018111895308	1.5740019718911167e-06	5:155951563-5:157201540	-4.37	0.392	1	ENSG00000135074	b_intermediate
5:155946495-5:157201689	ENSG00000113263_cd4_tem		ENSG00000113263_cd4_tem		onek1k		5	156180825.0	158255191.0	14	trait	blup		0.000836359285797	0.1826647783732448	5:155951563-5:157201540	4.17	0.166	1	ENSG00000113263	cd4_tem
3:66220021-3:68237764	ENSG00000172340_b_intermediate		ENSG00000172340_b_intermediate		onek1k		3	66360459.0	68654614.0	15	trait	lasso		0.0014592702681193	0.1212101826519136	3:66293688-3:68233947	2.16	0.159	1	ENSG00000172340	b_intermediate
