block	ens_gene_id	ens_tx_id	mol_name	tissue	ref_name	type	chrom	tx_start	tx_stop	block_genes	trait	inference_pop1	inter_z_pop1	cv.R2_pop1	cv.R2.pval_pop1	ldregion_pop1	twas_z_pop1	pips_pop1	in_cred_set_pop1
1:10583-1:1961168	ENSG00000078808	NA	SDF4		gtex	protein_coding	1	216907	2232031	135	trait	lasso	NA	0.07475322438449139	4.060712631699888e-07	1:752566-1:1955080	-4.94	0.851	1
1:10583-1:1961168	ENSG00000186891	NA	TNFRSF18		gtex	protein_coding	1	203507	2206691	135	trait	blup	NA	0.07776308773984208	2.3764503289786508e-07	1:752566-1:1955080	-4.53	0.146	1
1:10583-1:1961168	ENSG00000160072	NA	ATAD3B		gtex	protein_coding	1	471768	2496202	135	trait	lasso	NA	0.08934353981610366	2.99312505150574e-08	1:752566-1:1955080	-3.73	0.02	0
1:10583-1:1961168	ENSG00000189339	NA	SLC35E2B		gtex	protein_coding	1	659528	2692728	135	trait	lasso	NA	0.15560563596239685	1.4049704572818988e-13	1:752566-1:1955080	-1.8	0.014	0
1:10583-1:1961168	ENSG00000169962	NA	TAS1R3		gtex	protein_coding	1	331313	2335275	135	trait	enet	NA	0.06859027237702664	1.212421707173104e-06	1:752566-1:1955080	0.901	0.00661	0
1:10583-1:1961168	ENSG00000187608	NA	ISG15		gtex	protein_coding	1	1137	2014541	135	trait	lasso	NA	0.03789514205289213	0.0002707599853534491	1:752566-1:1955080	-1.12	0.00531	0
1:10583-1:1961168	NULL.MODEL	NA	NULL	NA	NA	NULL	1	NA	NA	135	trait	NA	NA	NA	NA	1:752566-1:1955080	0	0.0049	0
1:10583-1:1961168	ENSG00000248333	NA	CDK11B		gtex	protein_coding	1	635263	2659012	135	trait	blup	NA	0.07903453353966028	1.8945272967761124e-07	1:752566-1:1955080	1.64	0.00247	0
1:10583-1:1961168	ENSG00000188976	NA	NOC2L		gtex	protein_coding	1	-55419	1959309	135	trait	blup	NA	0.03555423251591949	0.00040892305047008373	1:752566-1:1955080	-1.2	0.00246	0
1:10583-1:1961168	RP11-345P4	NA	RP11-345P4		gtex	NA	1	671989	2674397	135	trait	enet	NA	0.1334234594124829	9.32530711413809e-12	1:752566-1:1955080	0.802	0.00223	0
1:10583-1:1961168	RP11-465B22	NA	RP11-465B22		gtex	NA	1	59733	2069355	135	trait	blup	NA	0.08147058280157571	1.2265201429004905e-07	1:752566-1:1955080	0.181	0.00176	0
1:10583-1:1961168	ENSG00000187583	NA	PLEKHN1		gtex	protein_coding	1	-33504	1975108	135	trait	lasso	NA	0.05566367447497367	1.1887951989597101e-05	1:752566-1:1955080	-0.17	0.00172	0
1:10583-1:1961168	ENSG00000188290	NA	HES4		gtex	protein_coding	1	-1039	2000172	135	trait	lasso	NA	0.05198134980208702	2.273192033231316e-05	1:752566-1:1955080	0.257	0.00171	0
1:1961168-1:3666172	NULL.MODEL	NA	NULL	NA	NA	NULL	1	NA	NA	49	trait	NA	NA	NA	NA	1:1963415-1:3499246	0	0.964	1
1:1961168-1:3666172	ENSG00000189339	NA	SLC35E2B		gtex	protein_coding	1	659528	2692728	49	trait	lasso	NA	0.15560563596239685	1.4049704572818988e-13	1:1963415-1:3499246	-1.23	0.0164	0
1:1961168-1:3666172	RP11-345P4	NA	RP11-345P4		gtex	NA	1	671989	2674397	49	trait	enet	NA	0.1334234594124829	9.32530711413809e-12	1:1963415-1:3499246	0.826	0.0118	0
1:1961168-1:3666172	ENSG00000248333	NA	CDK11B		gtex	protein_coding	1	635263	2659012	49	trait	blup	NA	0.07903453353966028	1.8945272967761124e-07	1:1963415-1:3499246	-0.108	0.00897	0
