chrom	start	stop	strand	gencode_id	encode_id	gene_name	type
1	11869	14403	+	ENSG00000223972.5	ENSG00000223972	DDX11L1	transcribed_unprocessed_pseudogene
1	14410	29553	-	ENSG00000227232.5	ENSG00000227232	WASH7P	unprocessed_pseudogene
1	17369	17436	-	ENSG00000278267.1	ENSG00000278267	MIR6859-1	miRNA
1	29571	31109	+	ENSG00000243485.5	ENSG00000243485	MIR1302-2HG	lincRNA
1	34554	36081	-	ENSG00000237613.2	ENSG00000237613	FAM138A	lincRNA
1	52473	53312	+	ENSG00000268020.3	ENSG00000268020	OR4G4P	unprocessed_pseudogene
1	62948	63887	+	ENSG00000240361.1	ENSG00000240361	OR4G11P	unprocessed_pseudogene
1	69091	70008	+	ENSG00000186092.4	ENSG00000186092	OR4F5	protein_coding
1	89295	129223	-	ENSG00000238009.6	ENSG00000238009	RP11-34P13.7	lincRNA
1	131025	134836	+	ENSG00000233750.3	ENSG00000233750	CICP27	processed_pseudogene
1	135141	135895	-	ENSG00000268903.1	ENSG00000268903	RP11-34P13.15	processed_pseudogene
1	137682	137965	-	ENSG00000269981.1	ENSG00000269981	RP11-34P13.16	processed_pseudogene
1	139790	140339	-	ENSG00000239906.1	ENSG00000239906	RP11-34P13.14	antisense
1	141474	173862	-	ENSG00000241860.6	ENSG00000241860	RP11-34P13.13	processed_transcript
1	157784	157887	-	ENSG00000222623.1	ENSG00000222623	RNU6-1100P	snRNA
1	160446	161525	+	ENSG00000241599.1	ENSG00000241599	RP11-34P13.9	lincRNA
1	182696	184174	+	ENSG00000279928.2	ENSG00000279928	ABC7-43046700E7.1	unprocessed_pseudogene
1	185217	195411	-	ENSG00000279457.4	ENSG00000279457	RP11-34P13.18	unprocessed_pseudogene
1	187891	187958	-	ENSG00000273874.1	ENSG00000273874	MIR6859-2	miRNA
1	257864	297502	-	ENSG00000228463.9	ENSG00000228463	AP006222.2	lincRNA
1	347982	348366	-	ENSG00000236679.2	ENSG00000236679	RPL23AP24	processed_pseudogene
1	357383	359681	-	ENSG00000236743.1	ENSG00000236743	RP5-857K21.15	lincRNA
1	358857	366018	+	ENSG00000236601.2	ENSG00000236601	RP4-669L17.2	lincRNA
1	366053	501617	-	ENSG00000237094.11	ENSG00000237094	RP4-669L17.10	lincRNA
1	439870	440232	+	ENSG00000269732.1	ENSG00000269732	WBP1LP7	processed_pseudogene
1	450740	451678	-	ENSG00000278566.1	ENSG00000278566	OR4F29	protein_coding
1	487101	489906	+	ENSG00000233653.3	ENSG00000233653	CICP7	processed_pseudogene
1	491225	493241	-	ENSG00000250575.1	ENSG00000250575	RP4-669L17.8	unprocessed_pseudogene
1	516376	516479	-	ENSG00000278757.1	ENSG00000278757	U6	snRNA
1	585989	827796	-	ENSG00000230021.8	ENSG00000230021	RP5-857K21.4	lincRNA
1	587629	594768	+	ENSG00000235146.2	ENSG00000235146	RP5-857K21.2	lincRNA
1	629062	629433	+	ENSG00000225972.1	ENSG00000225972	MTND1P23	unprocessed_pseudogene
1	629640	630683	+	ENSG00000225630.1	ENSG00000225630	MTND2P28	unprocessed_pseudogene
